radius,n_players,mechanism,adjacency,agent,margin,frac_tied,seat0_wr,sec_per_game
3,2,bag,False,random,0.5063,0.1000,0.4833,0.0089
3,2,bag,False,greedy,0.2702,0.0333,0.6167,0.3017
3,2,bag,True,random,0.4779,0.1186,0.7167,0.0098
3,2,bag,True,greedy,0.3270,0.0500,0.6333,0.2507
3,2,pool,False,random,0.5549,0.0333,0.6500,0.0092
3,2,pool,False,greedy,0.2658,0.0167,0.4333,0.9089
3,2,pool,True,random,0.5836,0.0508,0.7000,0.0106
3,2,pool,True,greedy,0.2737,0.0500,0.6500,0.7313
3,2,hand,False,random,0.4732,0.0000,0.5667,0.0088
3,2,hand,False,greedy,0.2533,0.0333,0.4833,0.8502
3,2,hand,True,random,0.4709,0.0667,0.6333,0.0098
3,2,hand,True,greedy,0.2777,0.0167,0.6667,0.7229
3,3,bag,False,random,0.3688,0.0667,0.4333,0.0091
3,3,bag,False,greedy,0.1629,0.1000,0.4000,0.3155
3,3,bag,True,random,0.4102,0.0169,0.3667,0.0097
3,3,bag,True,greedy,0.1812,0.0500,0.3833,0.2449
3,3,pool,False,random,0.4218,0.0167,0.4167,0.0086
3,3,pool,False,greedy,0.1860,0.0333,0.3667,0.8927
3,3,pool,True,random,0.4287,0.0690,0.4667,0.0102
3,3,pool,True,greedy,0.1473,0.1500,0.3500,0.6956
3,3,hand,False,random,0.3797,0.0833,0.4167,0.0084
3,3,hand,False,greedy,0.1309,0.0500,0.4167,0.7830
3,3,hand,True,random,0.4362,0.0877,0.3667,0.0090
3,3,hand,True,greedy,0.2152,0.0333,0.3667,0.6233
